Type,Name,Address,Grade,District,AGA Division,PS/MC/UC
Travel Agents,SERENDIVUS INTERNATIONAL (PRIVATE) LIMITED,"NO.243, 3/1, HAVLOCK ROAD, COLOMBO 06",,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
Travel Agents,AMADIV HOLIDAYS LANKA (PVT) LTD,"NO. 150, 2ND FLOOR, GREENS ROAD, NEGOMBO",,Gampaha,Negombo,Negombo Divisional Secretariat
Travel Agents,WALKSONS TOURIST (PRIVATE) LIMITED,"BLOCK 03, NEW RENIL ESTATE, HINDAGOLLA, KURUNEGALA",,Kurunegala,Mawathagama Pradeshiya Sabha,Mawathagama Divisional Secretariat
Travel Agents,JNW LANKA TOURS,"JNW BUILDING, NO. 67, MALIGAKANDA ROAD, COLOMBO 10",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,INTERNATIONAL TRAVEL BUREAU (PVT) LTD,"NO.83, 1ST FLOOR, MALIGAKANDA ROAD, MARADANA, COLOMBO 10",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,LETS TRAVEL (PRIVATE ) LIMITED,"CP 04, HOTEL GALADARI, LOTUS ROAD, COLOMBO 01",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,EXOTIC HOLIDAYS INTERNATIONAL (PVT) LTD,"NO.7 BARNES AVENUE, MOUNT LAVINIA",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
Travel Agents,AIRWING TOURS (PVT) LTD,"NO.68, COLOMBO ROAD, NEGOMBO",,Gampaha,Negombo,Negombo Divisional Secretariat
Travel Agents,EXOTIC GLOBAL HOLIDAYS (PRIVATE) LIMITED,"NO.40, VISAKA ROAD, COLOMBO 04",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,KHAIRAZ INTERNATIONAL TRAVELS & TOURS,"NO. 298, GEORGE R DE SILVA MAWATHA, COLOMBO 13",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,WHITTALL BOUSTEAD (TRAVEL) LTD,"NO.117 SIR CHITHAMPALAM A GARDINER MW, COLOMBO 02",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,PRIME VACATIONS (PVT) LTD,"NO.432 1/1, PANNIPITIYA ROAD, PELAWATTA, BATTARAMULLA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,LION ROYAL (PVT) LTD,"NO.45, BRAYBROOK STREET, COLOMBO 02",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,LANKA VISION HOLIDAYS (PVT) LTD,"L-2, REALITY PLAZA, COLOMBO ROAD, JA-ELA",,Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat
Travel Agents,WAYAMBA LANKA TRAVELS & TOURS CO-OPERATIVE SOCIETY LIMITED,"RUBANK HOUSE, N0. 107, DAMBULL ROAD, KURUNEGALA",,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat
Travel Agents,HAJARA TRAVELS (PVT) LTD,"NO.1D-1/1,01ST FLOOR,CHARLEMONT ROAD,COLOMBO 06.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,I-TECH TOURS & TRAVELS (PVT) LTD,"NO.56/1/1, FIRST FLOOR, KANDY ROAD, KIRIBATHGODA",,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
Travel Agents,WORLD LANKA TOURS (PVT) LTD,"NO.60, COTTA ROAD, BORELLA, COLOMBO 08",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SEE LANKA TRAVELS (PVT) LTD,"4TH FLOOR, NO.77, DHARMAPALA MAWATHA, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AERO LANKA TOURS AND TRAVELS (PVT) LTD,"NO.24, COL. T.G. JAYAWARDENA MAWATHA, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,HOLIDAY PARK (PVT) LTD,"NO. 26, 2/1, SECOND FLOOR, HILL STREET , DEHIWALA",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
Travel Agents,SHAN TOURS INTERNATIONAL (PVT) LTD,"NO.250, GALLE ROAD, HIKKADUWA",,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat
Travel Agents,MINA TRAVELS & TOURS (PVT) LTD,"G / L/ G 3, DIAS PLACE, GUNASINGHAPURA, COLOMBO 12",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AL- ZAAMIL LANKA TOURS & TRAVELS (PVT) LTD,"NO. 38 1/2 & 38 1/2A, SECOND FLOOR, SYMONDS ROAD, MARADANA COLOMBO",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ELEVEN TOURS DMC (PVT) LTD,"M-15, GALADARAI HOTEL, NO.64, LOTUS ROAD, ECHELON SQUARE, COLOMBO 01",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ECO TEAM (PVT) LTD,"NO.20/63, FAIRFIELD GARDENS, COLOMBO 08",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,CEYLON SUNNY HOLIDAYS (PVT) LTD,"NO.487, FOUR WAY JUNCTION, NAGODA, KALUTARA SOUTH",,Kalutara,Kalutara Pradeshiya Sabha,Nagoda Divisional Secretariat
Travel Agents,INNO VENTURES (PVT) LTD,"NO.11/4, ARCADIA GARDENS, ROSMEAD PLACE, COLOMBO 07",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AL RAHAMATH TRAVELS & TOURS,"NO.194/A4, BANDARANAYAKE MAWATHA, COLOMBO 12",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SEASONS TRAVELS,"NO.07, NORTH LAKE ROAD, KURUNEGALA",,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat
Travel Agents,HORNBILL HOLIDAYS CEYLON (PVT) LTD,"82, TEMPLERS ROAD, MOUNT LAVINIA",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
Travel Agents,LANKA HOLIDAYS NET (PVT) LTD,"NO. 39,2/2, GALLE FACE TERRACE, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ROSEN TOURS (PVT) LTD,"15A, DE FONSEKA ROAD, COLOMBO 05",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,HERITAGE EXPEDICIONES (PVT) LTD,"NO-106/3, THIMBIRIGASYAYA RD, COLOMBO 05.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,H.M.H. HAJ TRAVELS,"MAL / 8TH STREET, BLOCK ""J"" , WEST SAMANTHURAI",,Ampara,Ampara,Samanthurai Divisional Secretariat
Travel Agents,BARAKATH TRAVELS & TOURS (PVT) LTD,"66-1/ 15, MALWATTA ROAD, COLOMBO 11",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ADHVAN TOURS (PVT) LTD,"NO.129, DUTUGAMUNU STREET, DEHIWALA",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
Travel Agents,PAN LANKA TRAVELS & TOURS (PVT) LTD,"NO. 06, PALMYRAH AVENUE, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ALDRICH TRAVELS & TOURS,"NO. 07, GALLE FACE COURT - 02, GALLE FACE, GALLE ROAD, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,GO VACATION LANKA CO. (PVT) LTD,"NO. 46/26, JETWING HOUSE, NAVAM MAWATHA, COLOMBO 02",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,B.O.C. TRAVELS (PVT) LTD,"1ST FLORR, BANK OF CEYLON SUPER GRADE BRANCH BUILDING, BASELINE ROAD, COLOMBO 08",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,BG AIR SERVICES (PVT) LTD,"NO.02, ELIBANK ROAD, COLOMBO 05",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,JETWING TRAVELS (PVT) LTD,"""JETWING HOUSE"" NO.46/26, NAVAM MAWATHA, COLOMBO 02",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,IMARAH TRAVELS & TOURS (PVT) LTD,"NO40/1,HOSPITAL ROAD, KALUBOWILA,DEHIWELA.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SUMMER VOYAGES (PVT) LTD,"NO. 133/14 B, DUWA ROAD, BADDAGANA KOTTE",,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat
Travel Agents,FLEX TRAVELS & TOURS,"NO.04, IBC ROAD, COLOMBO 06",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AYSHA TRAVELS & TOURS (PVT) LTD,"NO.36, 02ND FLOOR, DAMBULLA ROAD, KURUNEGALA",,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat
Travel Agents,MADINA HAJJ TRAVELS & TOURS,"NO. 323, MACCAMADY ROAD,MARUNTHAMUNAI",,Ampara,Kalmunai,Kalmunai Divisional Secretariat
Travel Agents,JETWING ECO HOLIDAYS (PVT) LTD,"""JETWING HOUSE"" NO. 46/26, NAWAM MAWATHA, COLOMBO 02",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,JETWING EVENTS (PVT) LTD,"""JETWING HOUSE"" N0. 46/26, NAWAM MAWATHA, COLOMBO 02",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SCENIC VENTURES (PVT) LTD,"NO. 225, GALLE ROAD, COLOMBO 04",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ROYAL HOLIDAYS,"NO.70, SECOND FLOOR, LUCKY PLAZA, ST. ANTHONYS ROAD, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ASMA TRAVELS,"MAIN STREET , U.C. ROAD, KINNIYA - 04",,Trincomalee,Kinniya,Kinniya Divisional Secretariat
Travel Agents,RIF -RAA TRAVELS,"MO.102, MAIN STREET, NINTAVUR - 20",,Ampara,Ampara,Ninthavur Divisional Secretariat
Travel Agents,HIMAYA TRAVELS & TOURS (PVT) LTD,"NO.551 A, MAIN STREET, KALMUNAI",,Ampara,Kalmunai,Kalmunai Divisional Secretariat
Travel Agents,GEMINI TOURS & TRAVELS (PVT) LTD,"NO. 347, RAJAMAHA VIHARA ROAD, PINNIYARA, PITAKOTTE.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,KARUSAN TRAVELS (PVT) LTD,"NO.124, KANDY ROAD, MAHARA, KADAWATHA",,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
Travel Agents,DUS LANKA TRAVELS (PVT) LTD,"NO.560, GALLE ROAD, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,GEORGE STEUART TRAVEL LIMITED,"NO. 94A, DHARMAPALA MAWATHA, COLOMBO 07",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,GET INTO LANKA TRAVELS & TOURS (PVT) LTD,"NO.87, MAKOLA SOUTH, MAKOLA",,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
Travel Agents,PARADISE TRAVELS (PVT) LTD,"NO. 8-2/1, OLD KOTTAWA ROAD, MIRIHANA, NUGEGODA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,TADA LANKA TRAVELS (PVT) LTD,"NO.732, MARADANA ROAD, COLOMBO 10",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,TAJ TRAVEL SERVICES (PVT) LTD,"NO. 86-1, 03RD FLOOR, CHATHAM STREET, COLOMBO 01",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AL - HUDA TRAVELS & TOURS,"NO. 83/ G1, MALIGAKANDA ROAD, MARADANA, COLOMBO 10",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AIR EXPRESS TRAVELS,"NO. 5-1/ 21, FIRST FLOOR. KOTAHENA SUPER MARKET, COLOMBO 13",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,TRUST GULF MAN POWER TRAVELS AND TOURS,"NO.28, JAIL STREET, HAMBANTOTA.",,Hambantota,Hambantota,Hambantota Divisional Secretariat
Travel Agents,SURREXI TRAVELS (PVT) LTD,"NO.125, GONGAMPALA ROAD, KELANIYA",,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
Travel Agents,PRASHATHI TOURS & TRAVELS,"""SEWWANDI"" PALLEWELA",,Gampaha,Gampaha,Mirigama Divisional Secretariat
Travel Agents,BEST OF LANKA (PVT) LTD,"NO 295/1/2, 2ND FLOOR STANLY THILAKARATHNA MAWATHA,JUBILIE POST, NUGEGODA",,Colombo,Sri Jayawardenapura-Kotte,Sri jayawadanapura
Travel Agents,IBRAHIM TRAVELS & TOURS (PVT) LTD,"NO.52, 01ST FLOOR, HOSPITAL STREET, COLOMBO 01",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,MIRACULOUS ESCAPES (PVT) LTD,"NO.437, GALLE ROAD, RATMALANA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,KUBAA TRAVELS (PVT) LTD,"476, C-3, MARADANA, COLOMBO - 10",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,N.M. TRAVELS & TOURS (PVT) LTD,"NO.569, GALLE ROAD, COLOMBO 06",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ZAM ZAM HAJJ TRAVELS,"158, ARABIC COLLEGE ROAD, AKKARAIPATTU - 05",,Ampara,AKKARAIPATTU,Akkaraipattu Divisional Secretariat
Travel Agents,NKAR TRAVELS & TOURS (PVT) LTD,"NO.45, ANANDA COOMARASWAMY MAWATHA, COLOMBO 07",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SAPPHIRE SHIPPING (PVT) LTD,"NO.24, HUNUPITIYA ROAD, COLOMBO 02",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,CHELCEY TRAVELS (PVT) LTD,"NO.35, DEVAL ROAD, NUGEGODA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,MARVIDA TRAVEL LANKA (PVT) LTD,"NO.165, COLOMBO ROAD, REALITY PLAZA, JA ELA",,Gampaha,Gampaha,Ja-Ela Divisional Secretariat
Travel Agents,HANA GLOBAL TICKETING SERVICES (PVT) LTD,"NO.159,2/2, GREEN ARCADE BUILDING, MAIN STREET COLOMBO 11",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SILK ROAD TRAVELS (PVT) LTD,"NO.23, 17TH LANE, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AITKEN SPENCE TRAVELS (PVT) LTD,"NO.315, VAUXHALL STREET, COLOMBO 02",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SUNPOWER TRAVELS (PVT) LTD,"BIBLE HOUSE BUILDING,GROUND FLOOR,NO;293,GALLE ROAD,COLOMBO 03.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ALPHA TOURS(PVT)LTD,"7TH FLOOR,EAST TOWER,WORLD TRAD CENTRE,COLOMBO 01",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,TRAVELLER GLOBAL DESTINATION & LEISURE HOLIDAYS (PVT) LTD,"NO. 377A, GALLE ROAD, COLOMBO 03.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,EXOTIC VACATIONS (PVT) LTD,"NO.4,4TH LANE, NAWALA ROAD,NAWALA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,VISIT LANKA (PVT) LTD,"4B, SRI RATHANAJOTHI MW, NAWALA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ANDREW THE TRAVEL COMPANY (PVT) LTD,"NO: 130, LEVEL 1, NAWALA ROAD, NARAHENPITA, COLOMBO 5",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SKYWAYS,"NO. 36/1, SIRIPA ROAD, COLOMBO 05",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,WALKERS TOURS LIMITED,"NO.117, SIR CHITTAMPAL A GARDINER MAWATHA,COLOMBO 2 ,SRI LANKA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SUPERLINK TRAVELS (PVT) LTD,"NO:70, ""LUCKY PLAZA"" , KOLLUPITIYA LANE, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,CONNAISSANCE DE CEYLAN (PVT) LTD,"NO. 130, HIGH LEVEL ROAD, COLOMBO 06",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,PENTHOUSE TRAVELS (PVT)LTD,"NO.11,ALEXANDRA ROAD,COLOMBO 06",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ACME TRAVELS (PVT) LTD,"246, PARK ROAD, COLOMBO 05",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,TRAVEL ARCADE (PVT)LTD,"NO.102, HAVELOCK ROAD,COLOMBO 05",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,INFOTECHS TRAVELS (PVT) LTD,"NO:23/1 , JAYA ROAD,COLOMBO 04",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,RED DOT TOURS LANKA (PRIVATE) LIMITED,"NO. 140 A, VAUXHALL STREET, COLOMBO 02",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ALPHA TRAVELS & HOLIDAYS( PVT ) LTD,"49/16, ICELAND BUILDING, GALLE ROAD, COLOMBO 03, SRI LANKA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ASIAN TRAVELS & TOURS,"NO. 173/1/1, KOTTEGODA BUILDING, GALLE ROAD, BERUWALA",,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat
Travel Agents,M.A. RAZAK TRAVELS & TOURS LIMITED,"NO.07, 19TH LANE, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SUPERLINK TOURS (PVT) LTD,"NO:70, ""LUCKY PLAZA"", KOLLUPITIYA LANE, COLOMBO 3",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AERO LANKA TRAVEL SERVICE (PRIVATE) LIMITED,"NO.37/B, MUDALIGE MAWATHA, COLOMBO 01",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,COLUMBUS TOURS (PVT)LTD,"221/2, DHARMAPALA M.W., COLOMBO 07",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,QUICKSHAWAS TOURS LTD,"NO.03, KALINGA PLACE, COLOMBO 05",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,DIETHELM TRAVEL LANKA (PVT) LTD,"LEVEL 06, HEMAS HOUSE, NO. 75, BRAYBROOKE PLACE, COLOMBO 02",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,TRAVELSERV LIMITED,"NO:71/1, GREGORY S ROAD, COLOMBO 07.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,JUL TRAVELS (PVT) LTD,"NO. 12A, 1/1, VAJIRA ROAD, COLOMBO 04.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,E.C.D. HOLIDAYS,"NO. 51/1, ST. ANTHONYS ROAD, OFF MENDIS AVENUE, KADALANA, MORATUWA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,GREEN TOURS & RESORT (PVT ) LTD,"NO:113,CHATHAM STREET,COLOMBO 01.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,JF TOURS & TRAVELS (CEYLON) (PRIVATE) LIMITED,"NO.189, BAUDDHALOKA MW, COLOMBO 04",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,BLUE OCEAN TRVELS (PVT) LTD,"379 1/3, GALLE ROAD, COLOMBO 06",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ABERCROMBIE & KENT (PVT) LTD,"NO.54, WALUKARAMA ROAD, COLOMBO 03.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AIRPORT TOURIST DRIVERS ASSOCIATON,"NO.1454,COLOMBO ROAD,KURANA,KATUNAYAKE.",,Gampaha,Gampaha,Gampaha Divisional Secretariat
Travel Agents,THE TRAVELLER GLOBAL (PVT) LTD,"UG 95, PEOPLES PARK,COLOMBO 11.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AMITH TOURS AND TRAVELS,"NO.375/1, GALLE ROAD, ALUTHGAMA",,Kalutara,Aluthgama,Aluthgama
Travel Agents,SUPERLINK AIR (PVT) LTD,"NO:70,'LUCKY PLAZA',KOLLUPITIYA LANE,COLOMBO 03.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,LANKA LEISURE TRAVEL (PVT) LTD,"NO. 38, STATION ROAD, WATTALA",,Colombo,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat
Travel Agents,TOURISM CEYLON D.M.C. (PVT) LTD,"NO. 160, NAWALA ROAD, NAWALA.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SUPER LANKA TRAVELS INTERNATIONAL (PRIVATE) LIMITED,"NO. 37/37, SANASA SQUARE, COURTS ROAD, GAMPAHA.",,Gampaha,Gampaha,Gampaha Divisional Secretariat
Travel Agents,EEL TRAVELS (PVT) LTD,"NO. 10/7, LAKE DRIVE ENCLAVE, COLOMBO 08",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,PEARL ISLAND TOURS (PVT) LIMITED,"NO. 32 1/1, MELBOURNE AVENUE, COLOMBO 04",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,TRANSMIT TRAVELS,"NO. 292/6, GALLE ROAD, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SRI LANKAN GETAWAYS (PVT)LTD,"01ST FLOOR,NO.256,NEGOMBO ROAD,KURUNEGALA",,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat
Travel Agents,TRANSWORLD TRAVELS & TOURS,"NO:476 C7, MARADANA SHOPPING COMPLEX,MARADANA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,CLASSIC VACATIONS PVT LTD,"NO. 293, GALLE ROAD, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,LEOPARD SAFARIS (PVT)LTD,"NO.45,AMBAGAHAWATTE,COLOMBO ROAD,KATUNAYAKE,NEGOMBO",,Gampaha,Negombo,Negombo Divisional Secretariat
Travel Agents,TRAVELON LIMITED,"NO:202A, SRI JAMES PEIRIS MAWATHA,COLOMBO 2",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,WORLD TOUR MAKER,"NO:532/1, KOLLUPITIYA ROAD, COLOMBO 03.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,HAYLEYS TRAVELS AND TOURS (PVT) LTD,"NO:400, DEANS ROAD, COLOMBO 10",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SAINT ANDREW AND JUDE TRAVELS,"NO:43, KINROSS AVENUE, BAMBALAPITIYA, COLOMBO 04",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,NIROGA TRAVELS & TOURS (PVT)LTD,"""MADUGANGA VILLA"",SAMAGI MAWATH,MAHALADUWA,BALAPITIYA",,Galle,Galle,Balapitiya Divisional Secretariat
Travel Agents,WORLD TRAVEL CENTER COLOMBO (PVT)LTD,"NO:16,GRENIER ROAD, DR.N.M.PERERA MAWATHA.COLOMBO 08",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SHANTHI ADVENTURE TOURS (PVT)LTD,"NO.9/8,SURANIMALA PLACE,COLOMBO 06.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AIRCOM TRAVELS & TOURS,"NO:2A, RATWAM ROAD,COLOMBO 13",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,DIRECT LINK (PVT)LTD,"NO.225/7,SRI SANGARAJA MAWATHA,COLOMBO 10",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,GO HOLIDAYS (PVT) LTD,"54, WALUKARAMA ROAD, COLOMBO 03",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SUNBIRD LANKA TOURS & TRAVELS (PVT)LTD,"NO.403,HENDALA,WATTALA",,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat
Travel Agents,TOURAMA (PVT) LTD,"LEVEL 03, AUTODROME BUILDING, NO 304, UNION PLACE ,COLOMBO 02",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,THE THAPROBANA-DIFFERENT DISCOVERY,"NO.67, BIG CITY, YATIYANA, MINUWANGODA",,Gampaha,Gampaha,Minuwangoda Divisional Secretariat
Travel Agents,SRIEKO HOLIDAYS (PVT)LTD,"NO 41 ,SANJEEWA BUILDING,NEGOMBO RD,SEEDUWA,SRI LANKA",,Gampaha,Gampaha,Gampaha Divisional Secretariat
Travel Agents,ASIAN FOOTPRINTS (PVT) LTD,"NO. 199/2, RAJAGIRIYA ROAD, RAJAGIRIYA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,DELUX HOLIDAYS (PVT) LTD,"NO. 410/101B, BULLERS ROAD, COLOMBO 07",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,STAR WORLD TRAVELS (PVT) LTD,"NO:234/1, BCC BUILDING , DHARMAPALA MAWATHA, MATARA",,Matara,Matara,Matara Divisional Secretariat
Travel Agents,GANISTA TRAVEL & LOGISTIC SOLUTION (PVT) LTD,"NO. 655 1/F, LAKE ROAD, BORALESGAMUWA",,Colombo,Boralesgamuwa,Colombo Divisional Secretariat
Travel Agents,CEYLON LEGEND TRAVELS (PVT) LTD,"NO. 244/12, NEGOMBO ROAD, WELIGAMPITIYA, JA-ELA",,Colombo,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat
Travel Agents,AMANA TRAVELS & TOURS,"NO. 37, KOLONNAWA ROAD, KOLONNAWA",,Colombo,Kolonna Pradeshiya Sabha,Kolonnawa Divisional Secretariat
Travel Agents,EVERTON HOLIDAYS (PVT) LTD,"NO.106,DUTUGAMUNU STREET,DEHIWALA",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
Travel Agents,HAJER HAJJ TRAVELS,"NO:116,FISCAL ROAD, AKKARAIPATTU 03",,Ampara,AKKARAIPATTU,Akkaraipattu Divisional Secretariat
Travel Agents,CEYLAN VACATIONS (PVT) LTD,"NO.16,ST SYLVESTER'S ROAD,MOUNT LAVINIA",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
Travel Agents,ORINWAY LEISURE (PVT) LTD,"NO. 70/1/31, YMBA BUILDING, D.S. SENANAYAKE MAWATHA, COLOMBO 08, BORELLA",,Colombo,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
Travel Agents,AMRIAZ TRAVELS & TOURS,"NO. 476 -D/1, MARADANA, SHOPPING CENTER, COLOMBO 10",,Colombo,Colombo,Maradana
Travel Agents,JOURNEY SCAPES (PVT) LTD,"NO. 08, 2ND LANE, DEHIWALA",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
Travel Agents,HIGH ELMS TRAVELS (PVT) LTD,"NO. 71 G, POLHENAWATTA HOUSING SCHEME MAWATHA, KELANIYA",,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
Travel Agents,HAIFA TRAVELS & TOURS (PVT) LTD,"NO. 53 A, BRISTOL PARADISE BUILDING, YORK STREET, COLOMBO 01",,Colombo,Colombo,Colombo Divisional Secretariat
